uic,gare,trains_directs_jour,trains_pointe_matin,trains_arr_lille_matin,trains_pointe_soir,tps_trajet_median_min,tps_trajet_min_min,premier_train,dernier_train,amplitude_h,gares_lille_desservies,lignes,retour_trains_directs_jour,retour_pointe_soir,retour_dernier_depart_lille,autocars_directs_jour,vitesse_gc_rapide_kmh,remarque,stop_lat,stop_lon
87296244,Busigny,11,3,3,3,91.0,90.0,05:07,20:07,15.0,Flandres,K40,11,3,20:23,0,48.0,,50.039547,3.446436
87295055,Anor,11,3,2,3,100.0,100.0,05:15,20:15,15.0,Flandres,K61,10,2,20:05,0,62.0,,49.985022,4.093473
87281121,Arnèke,11,4,4,3,49.0,48.0,05:31,20:31,15.0,Flandres,K70,12,4,20:40,0,64.0,,50.831509,2.408468
87281113,Esquelbecq,11,4,4,3,55.0,54.0,05:25,20:25,15.0,Flandres,K70,12,4,20:40,0,60.0,,50.889751,2.412368
87281139,Cassel,11,3,4,3,43.0,42.0,05:37,20:37,15.0,Flandres,K70,12,4,20:40,0,66.0,,50.78753,2.460361
87281105,Bergues,11,4,4,3,61.0,61.0,05:19,20:19,15.0,Flandres,K70,12,4,20:40,0,57.0,,50.968997,2.425787
87281444,Saint-Omer,11,5,5,4,50.0,48.0,05:57,20:57,15.0,Flandres,K71,11,5,21:13,0,73.0,,50.753618,2.266719
87296004,Saint-Quentin,11,2,3,4,107.0,106.0,04:51,19:50,15.0,Flandres,K40,11,3,20:23,0,51.0,,49.840025,3.296958
87342469,Marquillies,11,4,3,3,33.0,33.0,06:11,20:11,14.0,Flandres,C50,12,3,20:16,0,32.0,,50.548145,2.867373
87342451,Salomé,11,4,3,3,37.0,37.0,06:07,20:07,14.0,Flandres,C50,12,3,20:16,0,32.0,,50.541881,2.838268
87345231,Loison-sous-Lens,10,3,3,2,51.0,51.0,06:22,20:22,14.0,Flandres,C51,13,4,20:47,0,31.0,,50.440028,2.859549
87345272,Meurchin,10,3,3,3,42.0,42.0,06:31,20:31,14.0,Flandres,C51,13,4,20:47,0,29.0,,50.496717,2.892738
87345215,Sallaumines,10,3,3,2,54.0,54.0,06:19,20:19,14.0,Flandres,C51,13,4,20:47,0,31.0,,50.42229,2.855759
87286427,La Fontaine,10,3,3,3,28.0,28.0,06:45,20:45,14.0,Flandres,C51,13,4,20:47,0,27.0,,50.566305,2.926108
87281428,Audruicq,9,3,3,4,64.0,64.0,05:43,20:42,15.0,Flandres,K71,9,3,21:13,0,70.0,,50.875668,2.07633
87317263,Calais Ville,9,3,3,3,78.0,78.0,05:29,20:29,15.0,Flandres,K71,9,3,21:13,0,71.0,,50.953466,1.850885
87281436,Watten - Éperlecques,9,3,3,4,56.0,55.0,05:51,20:50,15.0,Flandres,K71,9,3,21:13,0,70.0,,50.826125,2.207597
87287102,Lezennes,6,2,2,2,5.0,5.0,06:47,17:17,10.5,Flandres,P81,5,1,17:32,0,32.0,,50.620531,3.097777
87281071,Calais - Fréthun,5,3,3,2,28.0,28.0,06:07,19:18,13.2,Europe,"K92+, K94+",5,2,20:40,0,200.0,,50.901247,1.811178
87286716,Croix - Wasquehal,5,2,2,2,8.0,8.0,07:43,18:43,11.0,Flandres,K80,4,2,18:09,0,50.0,,50.678528,3.138069
87281055,Croix l'Allumette,5,2,2,2,11.0,11.0,07:40,18:40,11.0,Flandres,K80,4,2,18:09,0,44.0,,50.6868,3.151126
87286062,Hellemmes,5,2,2,2,8.0,6.0,07:13,17:14,10.0,Flandres,P81,3,1,17:32,0,35.0,,50.622635,3.114932
87295014,Jeumont,4,1,1,1,79.0,78.0,06:05,21:06,15.0,Flandres,K60,3,3,19:35,0,63.0,,50.296149,4.08722
87342535,Vis à Marles,4,1,1,1,47.0,47.0,06:07,18:07,12.0,Flandres,"C50, K50",3,1,19:06,0,53.0,,50.50509,2.517363
87342543,Calonne-Ricouart,4,1,1,1,52.0,51.0,06:03,18:02,12.0,Flandres,"C50, K50",3,1,19:06,0,53.0,,50.482799,2.481062
87342550,Pernes - Camblain,4,0,1,1,56.5,56.0,05:58,17:57,12.0,Flandres,"C50, K50",3,1,19:06,0,52.0,,50.480353,2.431076
87342337,Saint-Pol-sur-Ternoise,4,0,1,1,70.0,70.0,05:44,17:44,12.0,Flandres,"C50, K50",3,1,19:06,0,51.0,,50.379156,2.33934
87313056,Corbie,4,2,1,0,66.5,66.0,08:01,20:01,12.0,Flandres,"K44, K45",4,2,17:53,0,82.0,,49.91163,2.499953
87411017,Rouen Rive Droite,3,1,0,1,168.0,165.0,07:19,18:22,11.0,Flandres,K45,3,1,17:53,0,70.0,,49.448663,1.094103
87313080,Saint-Roch,3,1,0,1,91.0,89.0,08:36,19:38,11.0,Flandres,K45,3,1,17:53,0,67.0,,49.893454,2.28377
87313395,Poix-de-Picardie,3,1,0,1,107.0,105.0,08:20,19:22,11.0,Flandres,K45,3,1,17:53,0,70.0,,49.777788,1.989899
87313759,Abancourt,3,1,0,1,119.0,117.0,08:08,19:10,11.0,Flandres,K45,3,1,17:53,0,72.0,,49.685621,1.774297
87342048,Achiet,3,2,2,0,47.0,47.0,06:20,12:20,6.0,Flandres,K44,5,2,19:53,0,76.0,,50.131919,2.780112
87317586,Boulogne sur Mer,3,1,2,1,62.0,60.0,05:34,18:46,13.2,Europe,K94+,3,1,20:40,0,103.0,,50.715613,1.609714
87411470,Serqueux,3,1,0,1,131.0,130.0,07:56,18:57,11.0,Flandres,K45,3,1,17:53,0,72.0,,49.631551,1.539403
87411454,Montérolier - Buchy,3,1,0,1,143.0,141.0,07:44,18:46,11.0,Flandres,K45,3,1,17:53,0,72.0,,49.603166,1.334721
87411447,Longuerue - Vieux-Manoir,3,1,0,1,149.0,147.0,07:38,18:40,11.0,Flandres,K45,3,1,17:53,0,72.0,,49.556678,1.276228
87411439,Morgny,3,1,0,1,154.0,151.0,07:33,18:36,11.0,Flandres,K45,3,1,17:53,0,71.0,,49.522874,1.247359
87286856,Annappes,2,1,1,1,14.0,14.0,07:08,17:08,10.0,Flandres,P81,2,1,17:32,0,24.0,,50.622807,3.14629
87287128,Mont de Terre,2,1,1,0,5.0,5.0,07:46,16:16,8.5,Flandres,C60,2,1,17:09,0,33.0,,50.618045,3.096004
