code_insee,commune,dep,PMUN,dans_MEL,cyclable_util_km,cyclable_util_km_1000hab,pistes_protegees_km_1000hab,part_amenagements_proteges_pct,voie_verte_km_1000hab,cyclable_util_km_2022,cyclable_util_evol_km,cyclable_util_evol_pct
62048,Auchel,62,10062,False,0.08,0.01,0.0,0.0,0.01,0.08,0.0,1.0
62051,Auchy-les-Mines,62,4623,False,3.05,0.66,0.66,100.0,0.01,4.13,-1.08,-26.0
62065,Avion,62,17672,False,10.94,0.62,0.21,34.0,0.55,1.79,9.15,511.0
62073,Bailleul-Sir-Berthoult,62,1430,False,0.0,0.0,0.0,,0.08,0.0,0.0,
62083,Barlin,62,7366,False,4.58,0.63,0.23,38.0,0.57,3.81,0.77,20.0
62099,Beaurains,62,5515,False,5.93,1.07,0.6,56.0,0.88,6.06,-0.13,-2.0
62471,Bellinghem,62,1087,False,0.0,0.0,0.0,,0.0,0.0,0.0,
62126,Beuvry,62,9111,False,9.54,1.05,0.38,36.0,1.27,7.19,2.35,33.0
62128,Biache-Saint-Vaast,62,4481,False,0.0,0.0,0.0,,0.02,0.0,0.0,
62132,Billy-Berclau,62,5059,False,10.07,1.98,1.96,99.0,1.1,9.84,0.23,2.0
62133,Billy-Montigny,62,8117,False,0.15,0.02,0.02,100.0,0.03,0.0,0.15,inf
62160,Boulogne-sur-Mer,62,40910,False,22.25,0.54,0.41,75.0,0.14,18.21,4.04,22.0
62164,Bourlon,62,1140,False,0.0,0.0,0.0,,0.05,0.0,0.0,
62170,Bouvigny-Boyeffles,62,2371,False,0.0,0.0,0.0,,1.35,0.03,-0.03,-100.0
62173,Brebières,62,5169,False,1.67,0.32,0.29,91.0,0.04,2.77,-1.1,-40.0
62178,Bruay-la-Buissière,62,21827,False,10.35,0.47,0.16,33.0,0.57,12.08,-1.73,-14.0
62181,Bucquoy,62,1480,False,0.0,0.0,0.0,,0.0,0.0,0.0,
62186,Bully-les-Mines,62,12221,False,3.93,0.32,0.16,50.0,0.12,0.78,3.14,401.0
62188,Burbure,62,2819,False,0.0,0.0,0.0,,0.0,0.0,0.0,
62190,Busnes,62,1245,False,0.08,0.06,0.06,100.0,3.11,0.0,0.08,inf
62119,Béthune,62,24992,False,25.78,1.02,0.54,53.0,0.23,20.57,5.21,25.0
62193,Calais,62,67380,False,87.58,1.3,0.59,46.0,0.29,79.66,7.93,10.0
62194,Calonne-Ricouart,62,5463,False,0.99,0.18,0.0,0.0,0.09,0.33,0.66,197.0
62195,Calonne-sur-la-Lys,62,1560,False,0.55,0.35,0.0,0.0,0.0,0.0,0.55,inf
62200,Cambrin,62,1228,False,0.0,0.0,0.0,,0.0,0.0,0.0,
62215,Carvin,62,17852,False,25.02,1.39,0.92,66.0,0.34,24.27,0.75,3.0
62224,Chocques,62,2824,False,7.81,2.78,2.78,100.0,0.09,10.91,-3.1,-28.0
62240,Corbehem,62,2266,False,0.0,0.0,0.0,,0.0,0.0,0.0,
62249,Courcelles-lès-Lens,62,8213,False,4.03,0.5,0.5,100.0,0.1,1.92,2.11,110.0
62250,Courrières,62,10199,False,3.24,0.32,0.27,84.0,0.38,2.72,0.52,19.0
62262,Cuinchy,62,1754,False,0.0,0.0,0.0,,1.57,0.0,0.0,
62263,Dainville,62,5703,False,8.06,1.41,0.82,58.0,0.79,6.36,1.7,27.0
62274,Dourges,62,5997,False,4.41,0.73,0.34,47.0,1.19,4.45,-0.03,-1.0
62276,Douvrin,62,5795,False,12.54,2.16,1.15,53.0,1.93,19.94,-7.39,-37.0
62277,Drocourt,62,2943,False,0.0,0.0,0.0,100.0,0.01,0.02,-0.02,-83.0
62279,Duisans,62,1383,False,0.12,0.09,0.09,100.0,0.53,0.22,-0.1,-46.0
62310,Essars,62,1755,False,1.67,0.94,0.59,62.0,2.84,1.65,0.02,1.0
62311,Estevelles,62,2024,False,0.0,0.0,0.0,,0.01,0.0,0.0,
62323,Fampoux,62,1219,False,0.0,0.0,0.0,,4.57,0.0,0.0,
62330,Festubert,62,1266,False,0.0,0.0,0.0,,0.78,0.0,0.0,
62331,Feuchy,62,1015,False,0.41,0.41,0.17,41.0,4.37,0.0,0.41,inf
62338,Fleurbaix,62,2862,False,0.38,0.13,0.0,0.0,0.0,0.0,0.38,inf
62349,Fouquereuil,62,1632,False,0.0,0.0,0.0,,0.2,0.0,0.0,
62350,Fouquières-lès-Béthune,62,1115,False,2.0,1.8,0.25,14.0,3.85,2.86,-0.86,-30.0
62351,Fouquières-lès-Lens,62,6233,False,0.14,0.02,0.02,100.0,0.01,0.0,0.14,inf
62371,Givenchy-en-Gohelle,62,2026,False,0.46,0.23,0.0,0.0,0.0,0.0,0.46,inf
62373,Givenchy-lès-la-Bassée,62,1006,False,0.0,0.0,0.0,,3.5,0.0,0.0,
62376,Gonnehem,62,2507,False,0.0,0.0,0.0,,0.0,0.0,0.0,
62383,Gouy-sous-Bellonne,62,1396,False,0.0,0.0,0.0,,0.0,0.0,0.0,
62386,Grenay,62,6704,False,0.64,0.1,0.01,7.0,0.54,1.11,-0.47,-42.0
62391,Guarbecque,62,1369,False,0.5,0.37,0.37,100.0,2.72,0.0,0.5,inf
62400,Haillicourt,62,4884,False,0.0,0.0,0.0,,0.65,0.0,0.0,
62401,Haisnes,62,4427,False,9.32,2.11,1.71,81.0,0.22,6.18,3.14,51.0
62412,Hardinghen,62,1219,False,0.0,0.0,0.0,,0.0,0.0,0.0,
62413,Harnes,62,12317,False,2.28,0.19,0.1,54.0,0.39,3.3,-1.02,-31.0
62443,Hersin-Coupigny,62,6147,False,1.44,0.24,0.24,100.0,0.21,1.28,0.16,12.0
62452,Heuringhem,62,1379,False,0.0,0.0,0.0,,0.0,0.0,0.0,
62454,Hinges,62,2417,False,0.0,0.0,0.0,,2.05,0.0,0.0,
62457,Houdain,62,7030,False,1.33,0.19,0.14,73.0,0.53,1.81,-0.47,-26.0
62464,Hulluch,62,3367,False,6.49,1.92,1.92,100.0,0.0,4.08,2.41,59.0
62427,Hénin-Beaumont,62,26035,False,12.06,0.47,0.18,38.0,0.34,14.41,-2.35,-16.0
62476,Izel-lès-Équerchin,62,1058,False,0.0,0.0,0.0,,0.0,0.0,0.0,
62252,La Couture,62,2616,False,0.01,0.0,0.0,50.0,0.0,0.0,0.01,inf
62479,Labeuvrière,62,1654,False,0.0,0.0,0.0,,0.0,0.0,0.0,
62480,Labourse,62,2894,False,4.05,1.41,0.15,11.0,1.64,2.35,1.7,73.0
62489,Lapugnoy,62,3518,False,0.0,0.0,0.0,,0.0,0.0,0.0,
62491,Laventie,62,4969,False,2.48,0.5,0.06,11.0,0.0,1.78,0.7,40.0
62497,Leforest,62,7179,False,0.3,0.04,0.0,9.0,0.18,0.27,0.03,10.0
62498,Lens,62,32618,False,17.43,0.53,0.23,43.0,0.57,17.64,-0.21,-1.0
62502,Lestrem,62,5073,False,4.11,0.81,0.08,10.0,0.16,3.28,0.83,25.0
62907,Libercourt,62,8138,False,12.73,1.58,1.35,85.0,0.5,7.65,5.08,66.0
62516,Lillers,62,9988,False,3.59,0.35,0.24,68.0,0.1,0.0,3.59,inf
62510,Liévin,62,30149,False,2.52,0.08,0.04,53.0,0.38,3.07,-0.56,-18.0
62520,Locon,62,2342,False,6.38,2.73,0.6,22.0,0.0,6.41,-0.03,-0.0
62523,Loison-sous-Lens,62,5255,False,1.0,0.19,0.19,98.0,0.05,0.98,0.02,2.0
62525,Longuenesse,62,10568,False,5.83,0.55,0.17,30.0,0.42,5.05,0.78,15.0
62528,Loos-en-Gohelle,62,6896,False,10.6,1.55,0.08,5.0,0.13,7.7,2.9,38.0
62529,Lorgies,62,1609,False,0.0,0.0,0.0,,0.0,0.0,0.0,
62540,Maisnil-lès-Ruitz,62,1691,False,2.67,1.58,1.33,84.0,6.12,2.26,0.41,18.0
62543,Mametz,62,1998,False,0.0,0.0,0.0,,0.67,0.0,0.0,
62557,Marœuil,62,2441,False,0.46,0.19,0.0,0.0,0.09,0.46,0.0,1.0
62563,Mazingarbe,62,8068,False,3.53,0.43,0.09,20.0,0.12,2.77,0.75,27.0
62573,Meurchin,62,3717,False,0.15,0.04,0.0,0.0,0.0,0.0,0.15,inf
62584,Mont-Bernanchon,62,1316,False,0.0,0.0,0.0,,5.95,0.0,0.0,
62587,Montigny-en-Gohelle,62,9870,False,2.16,0.22,0.0,0.0,0.38,1.73,0.43,25.0
62570,Méricourt,62,11431,False,5.32,0.46,0.13,29.0,0.66,3.5,1.82,52.0
62606,Neuve-Chapelle,62,1419,False,0.0,0.0,0.0,,0.0,0.0,0.0,
62609,Neuville-Saint-Vaast,62,1603,False,0.0,0.0,0.0,,0.22,0.0,0.0,
62620,Norrent-Fontes,62,1362,False,0.08,0.06,0.0,0.0,0.0,0.0,0.08,inf
62624,Noyelles-Godault,62,5906,False,7.23,1.22,0.83,68.0,0.15,3.75,3.48,93.0
62626,Noyelles-lès-Vermelles,62,2294,False,1.96,0.86,0.46,53.0,0.0,2.9,-0.95,-33.0
62628,Noyelles-sous-Lens,62,6659,False,0.15,0.02,0.0,0.0,0.03,0.15,-0.0,-1.0
62617,Nœux-les-Mines,62,11520,False,5.6,0.49,0.01,2.0,0.01,6.57,-0.97,-15.0
62637,Oignies,62,10210,False,4.96,0.48,0.2,42.0,0.17,5.21,-0.24,-5.0
62638,Oisy-le-Verger,62,1188,False,0.0,0.0,0.0,,0.0,0.0,0.0,
62666,Pont-à-Vendin,62,3136,False,0.0,0.0,0.0,,0.27,0.0,0.0,
62684,Racquinghem,62,2214,False,0.0,0.0,0.0,,1.83,0.0,0.0,
62693,Rebreuve-Ranchicourt,62,1071,False,0.0,0.0,0.0,,0.0,0.0,0.0,
62706,Richebourg,62,2618,False,0.0,0.0,0.0,,0.0,0.0,0.0,
62712,Rivière,62,1124,False,0.07,0.06,0.0,0.0,1.93,0.07,0.0,0.0
62713,Robecq,62,1329,False,0.0,0.0,0.0,,4.66,0.0,0.0,
62724,Rouvroy,62,8797,False,1.63,0.19,0.05,26.0,0.99,1.07,0.56,53.0
62727,Ruitz,62,1509,False,2.51,1.68,1.68,100.0,2.59,2.52,-0.01,-0.0
62718,Rœux,62,1390,False,0.0,0.0,0.0,,1.61,0.0,0.0,
62735,Sailly-Labourse,62,2577,False,3.94,1.56,0.26,17.0,0.0,2.94,1.01,34.0
62736,Sailly-sur-la-Lys,62,3883,False,0.73,0.18,0.03,17.0,1.14,0.66,0.07,10.0
62737,Sains-en-Gohelle,62,5995,False,11.54,1.93,0.48,25.0,0.0,7.81,3.73,48.0
62753,Saint-Laurent-Blangy,62,6507,False,11.86,1.83,0.19,11.0,2.06,9.39,2.47,26.0
62764,Saint-Nicolas,62,4603,False,1.12,0.25,0.01,2.0,1.41,0.99,0.12,12.0
62765,Saint-Omer,62,14661,False,23.13,1.61,0.14,9.0,0.29,21.98,1.15,5.0
62770,Saint-Venant,62,3022,False,7.27,2.42,0.92,38.0,2.8,2.9,4.37,151.0
62744,Sainte-Catherine,62,3594,False,8.28,2.34,1.42,61.0,0.36,6.67,1.61,24.0
62771,Sallaumines,62,9650,False,0.16,0.02,0.0,0.0,0.05,0.25,-0.09,-35.0
62793,Servins,62,1134,False,0.0,0.0,0.0,,2.67,0.0,-0.0,-100.0
62801,Souchez,62,2658,False,0.0,0.0,0.0,,0.88,1.16,-1.16,-100.0
62810,Thélus,62,1271,False,0.91,0.7,0.5,71.0,0.0,0.91,0.0,0.0
62817,Tilloy-lès-Mofflaines,62,1519,False,5.79,3.7,2.55,69.0,1.1,7.73,-1.94,-25.0
62836,Vaudricourt,62,1104,False,0.11,0.09,0.0,0.0,0.0,0.1,0.0,1.0
62842,Vendin-le-Vieil,62,8381,False,1.57,0.18,0.18,100.0,0.13,0.29,1.27,435.0
62841,Vendin-lès-Béthune,62,2393,False,2.47,1.04,0.84,81.0,1.24,9.11,-6.64,-73.0
62846,Vermelles,62,4748,False,2.68,0.57,0.0,0.0,0.03,2.57,0.1,4.0
62847,Verquigneul,62,2016,False,4.86,2.42,1.88,78.0,0.0,4.47,0.39,9.0
62848,Verquin,62,3459,False,3.37,0.98,0.97,99.0,0.0,3.51,-0.14,-4.0
62861,Vimy,62,4307,False,3.71,0.87,0.68,79.0,0.0,3.79,-0.08,-2.0
62863,Violaines,62,3831,False,0.46,0.12,0.07,54.0,0.74,0.43,0.03,7.0
62865,Vitry-en-Artois,62,4787,False,1.93,0.4,0.3,75.0,0.26,0.95,0.98,103.0
62869,Wailly,62,1081,False,0.33,0.31,0.0,0.0,5.2,0.0,0.33,inf
62875,Wardrecques,62,1346,False,0.0,0.0,0.0,,1.88,0.0,0.0,
62895,Wingles,62,8742,False,0.01,0.0,0.0,100.0,0.11,1.32,-1.32,-100.0
62905,Zudausques,62,1040,False,0.0,0.0,0.0,,0.0,0.0,0.0,
62284,Écourt-Saint-Quentin,62,1691,False,0.0,0.0,0.0,,0.0,0.0,0.0,
62291,Éleu-dit-Leauwette,62,2829,False,0.47,0.17,0.17,100.0,0.99,0.74,-0.27,-36.0
62321,Évin-Malmaison,62,4674,False,0.0,0.0,0.0,,0.0,0.0,0.0,
