code_insee,commune,dep,PMUN,dans_MEL,acces_piscine_moy_min,acces_piscine_min_min,acces_fitness_moy_min,acces_fitness_min_min,acces_randonnee_moy_min,acces_randonnee_min_min,acces_gymnase_moy_min,acces_gymnase_min_min,nb_clubs_actifs,clubs_pour_1000hab,part_pop_ev_300m,surf_ev_m2_par_hab
59278,Hallennes-lez-Haubourdin,59,4718,True,6.7,4.3,5.1,2.7,6.4,2.6,2.6,1.0,7,1.48,99.5,74.0
59279,Halluin,59,20829,True,2.7,1.0,1.7,1.0,5.2,1.3,1.6,1.0,31,1.49,96.4,136.0
59281,Hantay,59,1259,True,10.6,8.6,5.5,3.8,11.9,9.8,5.0,3.5,2,1.59,100.0,77.0
59284,Hasnon,59,3874,False,10.3,5.7,10.8,7.1,11.0,6.1,2.9,1.0,5,1.29,100.0,1284.0
59286,Haubourdin,59,14757,True,4.2,1.0,3.2,1.0,5.3,1.8,2.4,1.0,24,1.63,99.4,98.0
59292,Haveluy,59,3250,False,6.3,4.9,5.4,4.1,8.7,7.2,3.5,1.7,6,1.85,98.8,314.0
59293,Haverskerque,59,1401,False,13.7,11.0,8.2,4.7,9.2,6.2,6.1,2.6,2,1.43,98.7,1231.0
59295,Hazebrouck,59,21498,False,3.3,1.0,2.6,1.0,6.1,2.5,2.1,1.0,50,2.33,92.9,185.0
59299,Hem,59,18713,True,3.2,1.0,3.2,1.0,7.8,3.8,1.9,1.0,26,1.39,89.3,92.0
59301,Hergnies,59,4463,False,16.0,12.9,7.7,3.9,5.5,1.0,3.1,1.0,13,2.91,100.0,1075.0
59303,Herlies,59,2323,True,1.5,1.0,4.8,2.4,5.0,2.7,1.9,1.0,7,3.01,95.9,178.0
59305,Herzeele,59,1634,False,22.2,17.2,8.6,5.4,1.7,1.0,6.3,3.6,4,2.45,83.1,1051.0
59309,Hondschoote,59,4026,False,15.1,10.8,8.8,5.6,7.9,5.0,1.5,1.0,14,3.48,90.4,347.0
59314,Hornaing,59,3535,False,2.1,1.0,2.2,1.0,2.0,1.0,2.2,1.0,10,2.83,96.7,383.0
59316,Houplin-Ancoisne,59,3275,True,7.2,4.0,3.6,1.0,3.5,1.0,3.5,1.0,5,1.53,81.2,265.0
59317,Houplines,59,7897,True,7.3,4.9,3.4,1.4,10.7,8.0,2.5,1.0,19,2.41,93.9,147.0
59297,Hélesmes,59,1921,False,4.2,2.3,4.2,1.4,3.6,1.4,1.8,1.0,5,2.6,93.1,724.0
59302,Hérin,59,4129,False,9.6,7.1,4.8,1.4,9.2,6.4,1.6,1.0,8,1.94,99.8,70.0
59320,Illies,59,1664,True,6.2,3.8,5.8,2.8,7.2,5.1,5.8,2.8,4,2.4,98.4,196.0
59051,La Bassée,59,6622,True,8.8,6.7,2.5,1.0,10.0,7.9,1.8,1.0,12,1.81,87.8,16.0
59143,La Chapelle-d'Armentières,59,8719,True,6.3,3.0,2.0,1.0,14.0,10.1,2.6,1.0,16,1.84,98.0,112.0
59268,La Gorgue,59,5599,False,17.4,11.3,2.6,1.0,8.3,2.2,2.4,1.0,12,2.14,95.1,185.0
59368,La Madeleine,59,22488,True,2.3,1.0,2.1,1.0,5.1,3.5,1.6,1.0,24,1.07,100.0,9.0
59564,La Sentinelle,59,3143,False,5.8,3.7,1.7,1.0,7.8,5.7,1.6,1.0,6,1.91,98.0,42.0
59327,Lallaing,59,6250,False,8.8,4.9,7.8,4.1,5.4,2.8,2.6,1.0,6,0.96,92.6,315.0
59328,Lambersart,59,27121,True,2.5,1.0,1.7,1.0,6.1,3.3,1.8,1.0,31,1.14,100.0,26.0
59329,Lambres-lez-Douai,59,4926,False,3.5,2.0,2.5,1.0,8.5,6.2,2.7,1.0,15,3.05,80.8,240.0
59330,Landas,59,2447,False,10.4,4.0,15.0,9.7,10.5,5.7,5.7,2.4,2,0.82,100.0,950.0
59332,Lannoy,59,1800,True,3.6,3.0,1.4,1.0,10.1,9.7,1.3,1.0,5,2.78,100.0,9.0
59334,Lauwin-Planque,59,1582,False,6.2,3.6,4.2,2.7,4.9,2.9,3.1,1.6,0,0.0,100.0,381.0
59180,Le Doulieu,59,1454,False,14.6,11.6,8.8,6.3,12.4,6.2,7.1,2.9,5,3.44,97.9,666.0
59335,Lecelles,59,3004,False,8.8,4.8,8.1,3.1,14.2,8.8,2.8,1.0,4,1.33,100.0,1470.0
59339,Leers,59,9588,True,6.9,3.6,2.4,1.0,13.0,10.3,3.1,1.0,20,2.09,88.9,49.0
59340,Leffrinckoucke,59,4124,False,2.9,1.0,3.4,1.0,8.7,7.2,1.4,1.0,8,1.94,99.3,537.0
59343,Lesquin,59,9241,True,5.6,3.3,2.6,1.0,9.9,7.1,2.3,1.0,15,1.62,99.1,107.0
59345,Lewarde,59,2403,False,7.0,5.6,3.4,1.9,5.5,4.0,3.7,2.2,7,2.91,100.0,228.0
59346,Lezennes,59,3019,True,4.7,2.9,4.1,2.2,9.2,7.0,2.5,1.0,7,2.32,100.0,85.0
59348,Lieu-Saint-Amand,59,1461,False,11.2,8.0,1.3,1.0,12.4,9.5,1.6,1.0,7,4.79,100.0,246.0
59350,Lille,59,236710,True,4.0,1.0,2.3,1.0,5.9,1.0,1.9,1.0,268,1.13,100.0,22.0
59352,Linselles,59,8192,True,10.0,4.3,6.1,1.4,5.8,3.1,2.0,1.0,18,2.2,85.2,210.0
59356,Lompret,59,2182,True,5.8,2.6,4.0,1.0,5.7,2.5,2.3,1.0,5,2.29,100.0,129.0
