code_insee,commune,dep,PMUN,dans_MEL,revenu_dispo_ref_mois_eur,taux_pauvrete_pct,cout_achat_maison_mois_eur,cout_location_maison_mois_eur,cout_transport_mois_eur,transport_contraint_voiture,reste_a_vivre_achat_eur,taux_effort_achat_pct,reste_a_vivre_location_eur,taux_effort_location_pct
59293,Haverskerque,59,1401,False,3319.0,,591.0,845.0,567.0,True,2161.0,34.9,1907.0,42.5
59295,Hazebrouck,59,21498,False,2989.0,16.0,800.0,871.0,50.0,False,2139.0,28.4,2068.0,30.8
59299,Hem,59,18713,True,3269.0,17.0,1230.0,1200.0,0.0,False,2039.0,37.6,2069.0,36.7
59301,Hergnies,59,4463,False,3088.0,15.0,583.0,845.0,539.0,True,1966.0,36.3,1704.0,44.8
59303,Herlies,59,2323,True,3865.0,,1162.0,1080.0,30.0,False,2673.0,30.8,2755.0,28.7
59305,Herzeele,59,1634,False,3304.0,,811.0,910.0,589.0,True,1904.0,42.4,1805.0,45.4
59309,Hondschoote,59,4026,False,2963.0,16.0,701.0,944.0,655.0,True,1607.0,45.8,1364.0,54.0
59314,Hornaing,59,3535,False,2884.0,18.0,731.0,814.0,52.0,False,2101.0,27.1,2018.0,30.0
59316,Houplin-Ancoisne,59,3275,True,3619.0,7.0,1032.0,1081.0,0.0,False,2587.0,28.5,2538.0,29.9
59317,Houplines,59,7897,True,3127.0,14.0,961.0,930.0,28.0,False,2138.0,31.6,2169.0,30.6
59297,Hélesmes,59,1921,False,3205.0,,579.0,863.0,494.0,True,2132.0,33.5,1848.0,42.3
59302,Hérin,59,4129,False,2815.0,20.0,673.0,875.0,52.0,False,2090.0,25.8,1888.0,32.9
59320,Illies,59,1664,True,3499.0,,1015.0,962.0,32.0,False,2452.0,29.9,2505.0,28.4
59051,La Bassée,59,6622,True,2920.0,18.0,806.0,921.0,34.0,False,2080.0,28.8,1965.0,32.7
59143,La Chapelle-d'Armentières,59,8719,True,3300.0,13.0,997.0,985.0,28.0,False,2275.0,31.1,2287.0,30.7
59268,La Gorgue,59,5599,False,3106.0,12.0,697.0,882.0,395.0,True,2014.0,35.2,1829.0,41.1
59368,La Madeleine,59,22488,True,3569.0,14.0,1514.0,1288.0,0.0,False,2055.0,42.4,2281.0,36.1
59564,La Sentinelle,59,3143,False,2640.0,25.0,611.0,886.0,517.0,True,1512.0,42.7,1237.0,53.1
59327,Lallaing,59,6250,False,2667.0,22.0,745.0,860.0,47.0,False,1875.0,29.7,1760.0,34.0
59328,Lambersart,59,27121,True,3978.0,10.0,1551.0,1294.0,0.0,False,2427.0,39.0,2684.0,32.5
59329,Lambres-lez-Douai,59,4926,False,3223.0,11.0,664.0,851.0,40.0,False,2519.0,21.8,2332.0,27.6
