code_insee,commune,dep,PMUN,dans_MEL,navetteurs_MEL,actifs_occ_residents,part_MEL,EPCI,ZE2020,AAV2020,BV2022
62331,Feuchy,62,1015,False,61,485,12.5,200033579,3203,069,62041
62338,Fleurbaix,62,2862,False,781,1286,60.7,245900758,3216,004,59017
62349,Fouquereuil,62,1632,False,61,738,8.2,200072460,3205,125,62119
62350,Fouquières-lès-Béthune,62,1115,False,29,401,7.3,200072460,3205,125,62119
62351,Fouquières-lès-Lens,62,6233,False,334,2180,15.3,246200364,3215,042,62498
62371,Givenchy-en-Gohelle,62,2026,False,87,887,9.8,246200364,3215,042,62498
62373,Givenchy-lès-la-Bassée,62,1006,False,147,418,35.2,200072460,3205,004,59051
62376,Gonnehem,62,2507,False,125,1044,12.0,200072460,3205,125,62119
62383,Gouy-sous-Bellonne,62,1396,False,92,579,15.8,200044048,3212,059,59178
62386,Grenay,62,6704,False,174,2167,8.0,246200364,3215,042,62498
62391,Guarbecque,62,1369,False,50,484,10.3,200072460,3205,263,62014
62400,Haillicourt,62,4884,False,117,1582,7.4,200072460,3205,221,62178
62401,Haisnes,62,4427,False,707,1737,40.7,200072460,3215,004,59051
62412,Hardinghen,62,1219,False,40,492,8.1,200072478,3206,068,62560
62413,Harnes,62,12317,False,717,4357,16.5,246200364,3215,042,62498
62443,Hersin-Coupigny,62,6147,False,210,2319,9.1,200072460,3205,042,62617
62452,Heuringhem,62,1379,False,31,605,5.1,200069037,3219,096,62765
62454,Hinges,62,2417,False,136,1091,12.4,200072460,3205,125,62119
62457,Houdain,62,7030,False,119,2331,5.1,200072460,3205,256,62178
62464,Hulluch,62,3367,False,313,1349,23.2,246200364,3215,042,59051
62427,Hénin-Beaumont,62,26035,False,2026,9710,20.9,246200299,3215,042,62498
62476,Izel-lès-Équerchin,62,1058,False,41,458,8.9,200044048,3215,042,59178
62252,La Couture,62,2616,False,320,1140,28.1,200072460,3205,004,62119
62479,Labeuvrière,62,1654,False,85,703,12.1,200072460,3205,125,62119
62480,Labourse,62,2894,False,165,1270,13.0,200072460,3205,221,62617
62489,Lapugnoy,62,3518,False,91,1447,6.3,200072460,3205,125,62048
62491,Laventie,62,4969,False,998,1994,50.0,245900758,3216,004,59400
62497,Leforest,62,7179,False,657,2706,24.3,246200299,3212,004,62497
62498,Lens,62,32618,False,1145,10349,11.1,246200364,3215,042,62498
62502,Lestrem,62,5073,False,624,2281,27.4,245900758,3205,004,59400
62907,Libercourt,62,8138,False,1103,2621,42.1,246200299,3215,004,62498
62516,Lillers,62,9988,False,183,3603,5.1,200072460,3205,156,62048
62510,Liévin,62,30149,False,833,9885,8.4,246200364,3215,042,62498
62520,Locon,62,2342,False,234,1075,21.7,200072460,3205,125,62119
62523,Loison-sous-Lens,62,5255,False,247,1868,13.2,246200364,3215,042,62498
62525,Longuenesse,62,10568,False,138,3137,4.4,200069037,3219,096,62765
62528,Loos-en-Gohelle,62,6896,False,327,2530,12.9,246200364,3215,042,62498
62529,Lorgies,62,1609,False,377,824,45.8,200072460,3216,004,59051
62540,Maisnil-lès-Ruitz,62,1691,False,77,776,9.9,200072460,3205,221,62617
62543,Mametz,62,1998,False,45,753,5.9,200069037,3219,096,62014
62557,Marœuil,62,2441,False,76,1071,7.1,200033579,3203,069,62041
62563,Mazingarbe,62,8068,False,286,2873,9.9,246200364,3215,042,62498
62573,Meurchin,62,3717,False,566,1557,36.4,246200364,3215,004,62895
62584,Mont-Bernanchon,62,1316,False,44,566,7.8,200072460,3205,125,62119
62587,Montigny-en-Gohelle,62,9870,False,660,3109,21.2,246200299,3215,042,62498
62570,Méricourt,62,11431,False,399,3733,10.7,246200364,3215,042,62498
62606,Neuve-Chapelle,62,1419,False,348,727,47.9,200072460,3216,004,59051
62609,Neuville-Saint-Vaast,62,1603,False,49,674,7.3,200033579,3203,069,62041
62620,Norrent-Fontes,62,1362,False,34,520,6.6,200072460,3205,263,62048
62624,Noyelles-Godault,62,5906,False,400,2207,18.1,246200299,3215,042,62498
62626,Noyelles-lès-Vermelles,62,2294,False,146,801,18.3,200072460,3215,042,62498
62628,Noyelles-sous-Lens,62,6659,False,244,2309,10.5,246200364,3215,042,62498
62617,Nœux-les-Mines,62,11520,False,276,3982,6.9,200072460,3205,221,62617
62637,Oignies,62,10210,False,1094,3466,31.6,246200299,3215,004,62498
62638,Oisy-le-Verger,62,1188,False,30,525,5.6,200044048,3212,059,59015
62666,Pont-à-Vendin,62,3136,False,401,1382,29.0,246200364,3215,004,62498
62684,Racquinghem,62,2214,False,93,1000,9.3,200069037,3219,096,62014
62693,Rebreuve-Ranchicourt,62,1071,False,40,513,7.8,200072460,3205,000,62178
62706,Richebourg,62,2618,False,524,1139,46.0,200072460,3205,004,62119
62712,Rivière,62,1124,False,31,464,6.7,200033579,3203,069,62041
62713,Robecq,62,1329,False,73,549,13.3,200072460,3205,000,62048
62724,Rouvroy,62,8797,False,397,3161,12.6,246200299,3215,042,62498
62727,Ruitz,62,1509,False,60,660,9.0,200072460,3205,221,62617
62718,Rœux,62,1390,False,100,626,16.0,200033579,3203,069,59178
62735,Sailly-Labourse,62,2577,False,132,1054,12.5,200072460,3205,221,62617
62736,Sailly-sur-la-Lys,62,3883,False,938,1613,58.2,245900758,3216,004,59400
62737,Sains-en-Gohelle,62,5995,False,193,2324,8.3,246200364,3215,042,62498
62753,Saint-Laurent-Blangy,62,6507,False,157,2821,5.6,200033579,3203,069,62041
62764,Saint-Nicolas,62,4603,False,108,1734,6.2,200033579,3203,069,62041
62765,Saint-Omer,62,14661,False,237,5416,4.4,200069037,3219,096,62765
62770,Saint-Venant,62,3022,False,111,1061,10.5,200072460,3205,674,62048
62744,Sainte-Catherine,62,3594,False,127,1404,9.1,200033579,3203,069,62041
62771,Sallaumines,62,9650,False,383,2635,14.5,246200364,3215,042,62498
62793,Servins,62,1134,False,75,541,13.9,246200364,3215,042,62617
62801,Souchez,62,2658,False,96,1154,8.3,246200364,3215,042,62498
62810,Thélus,62,1271,False,69,631,10.9,200033579,3203,069,62861
62817,Tilloy-lès-Mofflaines,62,1519,False,34,631,5.4,200033579,3203,069,62041
62836,Vaudricourt,62,1104,False,34,494,6.8,200072460,3205,125,62119
62842,Vendin-le-Vieil,62,8381,False,647,3270,19.8,246200364,3215,042,62498
62841,Vendin-lès-Béthune,62,2393,False,78,907,8.6,200072460,3205,125,62119
62846,Vermelles,62,4748,False,355,1964,18.1,200072460,3215,042,62498
62847,Verquigneul,62,2016,False,109,835,13.0,200072460,3205,125,62119
