code_insee,commune,dep,PMUN,dans_MEL,prix_maison_m2,n_ventes_maison,evol_prix_maison_24_25_pct,prix_appart_m2,n_ventes_appart,loyers_maison_m2,loyers_appart_m2,prix_maison_faible_echantillon
62274,Dourges,62,5997,False,1793.0,103,5.1,1420.0,1,9.44,11.24,False
62276,Douvrin,62,5795,False,1955.0,115,9.6,905.0,2,9.73,11.78,False
62277,Drocourt,62,2943,False,1803.0,52,7.2,845.0,2,8.72,11.2,False
62279,Duisans,62,1383,False,1545.0,12,,,0,9.95,10.99,True
62310,Essars,62,1755,False,1717.0,27,,1548.0,1,8.85,10.42,False
62311,Estevelles,62,2024,False,1885.0,31,,,0,9.28,11.84,False
62323,Fampoux,62,1219,False,2321.0,25,,,0,8.61,11.99,False
62330,Festubert,62,1266,False,1929.0,28,,,0,9.68,10.93,False
62331,Feuchy,62,1015,False,1481.0,16,,,0,8.61,11.47,False
62338,Fleurbaix,62,2862,False,2897.0,58,-5.3,,0,12.37,13.32,False
62349,Fouquereuil,62,1632,False,2110.0,22,,,0,8.85,10.64,False
62350,Fouquières-lès-Béthune,62,1115,False,1574.0,13,,,0,9.07,10.8,True
62351,Fouquières-lès-Lens,62,6233,False,1436.0,67,-0.4,,0,8.77,11.04,False
62371,Givenchy-en-Gohelle,62,2026,False,1588.0,28,,,0,9.25,10.38,False
62373,Givenchy-lès-la-Bassée,62,1006,False,1490.0,15,,,0,9.55,11.38,False
62376,Gonnehem,62,2507,False,1795.0,47,-10.0,,0,8.23,10.93,False
62383,Gouy-sous-Bellonne,62,1396,False,1214.0,25,,,0,10.32,11.16,False
62386,Grenay,62,6704,False,1642.0,42,,,0,8.71,10.73,False
62391,Guarbecque,62,1369,False,1161.0,19,,,0,8.59,10.62,False
62400,Haillicourt,62,4884,False,1484.0,55,7.4,,0,8.4,10.64,False
62401,Haisnes,62,4427,False,1856.0,80,6.7,,0,9.6,11.02,False
62412,Hardinghen,62,1219,False,1506.0,26,,,0,9.06,10.91,False
62413,Harnes,62,12317,False,1613.0,145,9.6,901.0,1,9.0,11.15,False
62443,Hersin-Coupigny,62,6147,False,1418.0,77,33.5,,0,8.23,10.44,False
62452,Heuringhem,62,1379,False,1225.0,25,,,0,8.53,10.7,False
62454,Hinges,62,2417,False,1942.0,40,6.7,,0,9.68,10.93,False
62457,Houdain,62,7030,False,1353.0,74,-6.0,1006.0,6,8.61,9.94,False
62464,Hulluch,62,3367,False,1977.0,52,-14.8,,0,9.55,11.34,False
62427,Hénin-Beaumont,62,26035,False,1400.0,421,18.2,1122.0,14,8.5,11.53,False
62476,Izel-lès-Équerchin,62,1058,False,2078.0,9,,,0,10.32,10.95,True
62252,La Couture,62,2616,False,1379.0,34,,,0,9.66,10.93,False
62479,Labeuvrière,62,1654,False,1468.0,32,,,0,8.85,10.64,False
62480,Labourse,62,2894,False,1727.0,57,-10.7,,0,8.85,10.52,False
62489,Lapugnoy,62,3518,False,1681.0,71,1.2,,0,8.57,10.64,False
62491,Laventie,62,4969,False,2177.0,119,8.8,957.0,1,9.88,11.77,False
62497,Leforest,62,7179,False,2037.0,95,10.0,2171.0,1,9.31,11.59,False
62498,Lens,62,32618,False,1398.0,281,-1.4,1604.0,60,9.2,11.93,False
62502,Lestrem,62,5073,False,1531.0,74,0.8,,0,9.42,11.08,False
62907,Libercourt,62,8138,False,1702.0,84,7.3,,0,10.29,11.29,False
62516,Lillers,62,9988,False,1004.0,207,31.2,806.0,2,7.82,10.21,False
62510,Liévin,62,30149,False,1585.0,341,-2.0,1651.0,4,9.29,11.26,False
62520,Locon,62,2342,False,1781.0,34,,,0,9.68,10.93,False
62523,Loison-sous-Lens,62,5255,False,1353.0,88,12.3,1546.0,3,9.57,11.29,False
62525,Longuenesse,62,10568,False,1629.0,175,-6.9,2158.0,5,8.89,12.53,False
62528,Loos-en-Gohelle,62,6896,False,1605.0,107,0.8,1476.0,5,9.52,11.25,False
62529,Lorgies,62,1609,False,1866.0,26,,,0,10.72,12.42,False
62540,Maisnil-lès-Ruitz,62,1691,False,1818.0,19,,,0,8.07,11.6,False
62543,Mametz,62,1998,False,1191.0,26,,,0,7.94,10.62,False
62557,Marœuil,62,2441,False,2271.0,38,,,0,10.1,11.29,False
62563,Mazingarbe,62,8068,False,1593.0,100,3.8,896.0,5,8.71,10.85,False
62573,Meurchin,62,3717,False,1815.0,73,-4.1,1250.0,1,9.28,11.84,False
62584,Mont-Bernanchon,62,1316,False,1500.0,19,,,0,8.23,10.08,False
62587,Montigny-en-Gohelle,62,9870,False,1576.0,118,2.7,1771.0,3,9.06,10.89,False
62570,Méricourt,62,11431,False,1673.0,109,-3.6,1039.0,2,9.43,11.38,False
62606,Neuve-Chapelle,62,1419,False,2391.0,25,,,0,10.72,12.42,False
62609,Neuville-Saint-Vaast,62,1603,False,2066.0,21,,,0,9.73,10.99,False
62620,Norrent-Fontes,62,1362,False,1239.0,15,,,0,7.94,10.62,False
62624,Noyelles-Godault,62,5906,False,1667.0,57,10.0,1450.0,1,9.97,11.7,False
62626,Noyelles-lès-Vermelles,62,2294,False,1809.0,17,,,0,8.97,10.52,False
62628,Noyelles-sous-Lens,62,6659,False,1311.0,59,-5.8,851.0,1,9.16,10.79,False
62617,Nœux-les-Mines,62,11520,False,1400.0,140,-11.0,1071.0,3,8.53,11.1,False
62637,Oignies,62,10210,False,1875.0,119,9.5,,0,9.55,11.41,False
62638,Oisy-le-Verger,62,1188,False,1147.0,12,,,0,8.49,11.36,True
62666,Pont-à-Vendin,62,3136,False,1239.0,70,2.7,667.0,1,9.16,10.91,False
62684,Racquinghem,62,2214,False,1664.0,44,,,0,7.89,11.09,False
62693,Rebreuve-Ranchicourt,62,1071,False,1297.0,23,,,0,8.07,9.67,False
62706,Richebourg,62,2618,False,1555.0,45,,,0,9.68,10.93,False
62712,Rivière,62,1124,False,1552.0,10,,,0,7.61,10.46,True
62713,Robecq,62,1329,False,1172.0,13,,,0,8.59,10.08,True
62724,Rouvroy,62,8797,False,1708.0,87,-10.6,899.0,2,9.08,10.68,False
62727,Ruitz,62,1509,False,1733.0,30,,,0,9.07,11.6,False
62718,Rœux,62,1390,False,1907.0,15,,,0,8.96,10.95,False
62735,Sailly-Labourse,62,2577,False,2022.0,36,,,0,8.97,11.02,False
62736,Sailly-sur-la-Lys,62,3883,False,2213.0,76,-14.8,1964.0,1,9.76,10.48,False
62737,Sains-en-Gohelle,62,5995,False,1627.0,92,6.1,,0,8.97,11.43,False
62753,Saint-Laurent-Blangy,62,6507,False,1899.0,124,6.7,1539.0,10,10.31,12.79,False
62764,Saint-Nicolas,62,4603,False,1827.0,73,15.1,2795.0,4,9.94,12.42,False
62765,Saint-Omer,62,14661,False,1443.0,213,-12.2,1377.0,86,8.45,10.84,False
62770,Saint-Venant,62,3022,False,1265.0,46,,1500.0,3,8.38,10.16,False
62744,Sainte-Catherine,62,3594,False,2230.0,59,3.4,2713.0,2,11.33,13.46,False
62771,Sallaumines,62,9650,False,1411.0,85,15.9,1297.0,2,8.77,11.07,False
62793,Servins,62,1134,False,1607.0,12,,1258.0,1,9.25,11.6,True
62801,Souchez,62,2658,False,1877.0,50,18.3,2857.0,1,9.25,10.38,False
62810,Thélus,62,1271,False,1625.0,23,,,0,9.73,11.99,False
62817,Tilloy-lès-Mofflaines,62,1519,False,1999.0,16,,1274.0,2,8.61,11.47,False
62836,Vaudricourt,62,1104,False,1780.0,27,,,0,9.07,10.8,False
62842,Vendin-le-Vieil,62,8381,False,2015.0,122,0.5,1405.0,1,9.83,11.16,False
62841,Vendin-lès-Béthune,62,2393,False,1521.0,43,,,0,8.5,10.42,False
62846,Vermelles,62,4748,False,1739.0,73,-9.5,516.0,1,9.6,10.93,False
62847,Verquigneul,62,2016,False,1668.0,25,,1498.0,2,8.85,10.52,False
62848,Verquin,62,3459,False,1574.0,46,5.4,,0,8.57,10.52,False
