code_insee,commune,dep,PMUN,dans_MEL,part_logts_vacants,part_maisons,part_proprietaires,part_hlm,part_menages_sans_voiture,part_menages_2voit_plus,evol_pop_2016_2022_pct
62119,Béthune,62,24992,False,11.5,50.5,38.6,23.8,25.8,21.6,0.6
62193,Calais,62,67380,False,9.8,50.2,44.1,25.6,28.4,22.2,-9.9
62194,Calonne-Ricouart,62,5463,False,9.6,94.5,39.9,28.7,19.1,32.4,-0.9
62195,Calonne-sur-la-Lys,62,1560,False,6.3,95.1,81.5,3.7,4.3,56.0,0.8
62200,Cambrin,62,1228,False,6.5,87.2,65.4,15.6,8.8,48.3,5.1
62215,Carvin,62,17852,False,6.5,82.8,57.1,25.4,16.4,37.5,4.7
62224,Chocques,62,2824,False,8.1,99.1,77.6,1.9,9.0,43.6,-3.8
62240,Corbehem,62,2266,False,5.1,94.8,78.1,8.4,10.9,44.6,-3.8
62249,Courcelles-lès-Lens,62,8213,False,5.1,92.1,61.9,24.8,13.8,44.4,5.0
62250,Courrières,62,10199,False,4.9,81.2,60.4,24.6,17.5,36.0,-4.0
62262,Cuinchy,62,1754,False,5.7,91.4,78.2,4.2,6.2,48.4,2.2
62263,Dainville,62,5703,False,5.2,90.9,74.0,10.3,8.3,39.4,2.6
62274,Dourges,62,5997,False,6.0,91.5,62.6,20.9,11.7,41.8,4.1
62276,Douvrin,62,5795,False,4.4,88.7,68.4,16.9,9.8,44.0,9.7
62277,Drocourt,62,2943,False,7.8,93.0,60.0,11.2,15.0,41.3,0.5
62279,Duisans,62,1383,False,4.2,95.5,81.5,1.4,4.1,60.9,8.4
62310,Essars,62,1755,False,6.4,96.0,75.7,5.4,6.7,47.1,3.3
62311,Estevelles,62,2024,False,4.1,100.0,73.9,15.1,6.6,52.9,-2.2
62323,Fampoux,62,1219,False,4.6,98.9,87.2,4.8,3.8,59.1,6.7
62330,Festubert,62,1266,False,6.1,98.5,81.7,7.7,6.3,56.5,-4.7
62331,Feuchy,62,1015,False,5.3,95.6,84.4,1.6,7.9,41.0,-3.3
62338,Fleurbaix,62,2862,False,3.7,94.5,79.1,5.6,3.6,60.4,9.6
62349,Fouquereuil,62,1632,False,5.1,97.2,74.4,8.9,8.4,47.2,5.4
62350,Fouquières-lès-Béthune,62,1115,False,5.0,94.9,75.0,1.3,8.1,45.2,3.4
62351,Fouquières-lès-Lens,62,6233,False,7.5,95.0,48.8,30.2,15.9,35.7,-3.4
62371,Givenchy-en-Gohelle,62,2026,False,4.6,97.8,82.5,7.0,5.7,53.1,4.4
62373,Givenchy-lès-la-Bassée,62,1006,False,4.7,96.0,76.8,15.9,7.8,49.9,-2.2
62376,Gonnehem,62,2507,False,5.9,98.5,83.0,2.8,3.4,60.0,-0.7
62383,Gouy-sous-Bellonne,62,1396,False,3.8,99.4,90.8,2.6,5.1,56.7,2.3
62386,Grenay,62,6704,False,3.9,90.4,25.9,40.2,20.9,31.1,-3.1
62391,Guarbecque,62,1369,False,3.9,96.6,78.2,5.1,6.7,46.9,-4.1
62400,Haillicourt,62,4884,False,5.9,93.8,51.6,28.3,15.1,40.1,0.6
62401,Haisnes,62,4427,False,4.6,96.4,64.6,21.4,12.2,41.7,1.7
62412,Hardinghen,62,1219,False,6.9,96.2,80.5,3.2,9.1,57.2,3.2
62413,Harnes,62,12317,False,7.2,83.4,46.3,39.5,19.8,30.0,-2.1
62443,Hersin-Coupigny,62,6147,False,5.9,93.6,51.6,24.9,14.2,39.6,-2.2
62452,Heuringhem,62,1379,False,3.8,99.3,90.4,0.0,1.9,61.7,4.5
62454,Hinges,62,2417,False,5.0,99.0,86.7,4.1,4.2,58.8,-1.1
62457,Houdain,62,7030,False,8.6,94.5,49.5,24.0,14.5,37.0,-4.7
62464,Hulluch,62,3367,False,4.3,93.5,54.4,30.5,15.2,41.6,-1.5
62427,Hénin-Beaumont,62,26035,False,9.9,71.8,49.8,25.9,20.1,31.0,-0.5
62476,Izel-lès-Équerchin,62,1058,False,5.7,99.6,86.0,2.3,5.7,56.6,6.4
62252,La Couture,62,2616,False,4.9,92.6,79.8,2.8,3.1,58.2,-7.1
62479,Labeuvrière,62,1654,False,5.6,98.3,81.8,3.1,8.5,46.5,-0.8
62480,Labourse,62,2894,False,4.6,99.4,69.7,16.6,9.8,49.7,3.9
62489,Lapugnoy,62,3518,False,7.0,92.3,68.4,10.2,11.2,43.6,1.4
62491,Laventie,62,4969,False,6.8,89.5,74.1,9.3,6.0,52.1,0.4
62497,Leforest,62,7179,False,4.8,92.4,57.7,27.5,14.4,38.0,0.1
62498,Lens,62,32618,False,10.6,59.0,27.0,36.8,28.3,20.3,6.5
62502,Lestrem,62,5073,False,5.3,87.4,73.1,12.2,5.8,53.9,12.3
