code_insee,commune,dep,PMUN,dans_MEL,voiture_pointe_min,voiture_libre_min,bouchons_min,voiture_km,temps_sans_voiture_min,mode_sans_voiture,meilleur_temps_vers_lille_min,gare_utile_sur_place,indice_congestion,part_trajet_bouchons_pct,min_perdues_jour,h_perdues_an,vitesse_pointe_kmh,vitesse_libre_kmh,sans_alternative
62905,Zudausques,62,1040,False,77.2,61.0,16.2,79.2,,,79.9,False,1.266,21.0,32.0,119.0,62.0,78.0,True
59014,Anzin,59,13422,False,51.4,35.4,16.0,49.7,63.0,velo+TER,59.3,False,1.452,31.1,32.0,117.0,58.0,84.0,False
59112,Bruay-sur-l'Escaut,59,11309,False,52.1,36.2,15.9,51.7,76.0,velo+TER,62.8,False,1.439,30.5,32.0,117.0,60.0,86.0,False
59375,Marchiennes,59,4539,False,46.4,30.5,15.9,34.1,,,54.1,False,1.521,34.3,32.0,117.0,44.0,67.0,True
59292,Haveluy,59,3250,False,49.6,33.7,15.9,46.7,,,72.0,False,1.472,32.1,32.0,117.0,56.0,83.0,True
59485,Quiévy,59,1801,False,75.5,59.6,15.9,76.9,,,109.7,False,1.267,21.1,32.0,117.0,61.0,77.0,True
59544,Saint-Saulve,59,11117,False,54.1,38.2,15.9,54.5,75.0,velo+TER,62.4,False,1.416,29.4,32.0,117.0,60.0,86.0,False
59504,Rœulx,59,3779,False,59.5,43.6,15.9,50.1,65.0,TER,65.0,False,1.365,26.7,32.0,117.0,51.0,69.0,False
59089,Bollezeele,59,1423,False,67.9,52.1,15.8,78.1,,,82.5,False,1.303,23.3,32.0,116.0,69.0,90.0,True
59456,Pecquencourt,59,6232,False,51.9,36.2,15.7,40.9,63.0,velo+TER,54.7,False,1.434,30.3,31.0,115.0,47.0,68.0,False
59553,Santes,59,5660,True,35.9,20.2,15.7,16.6,37.7,TER ~ velo+TER,37.7,True,1.777,43.7,31.0,115.0,28.0,49.0,False
59166,Curgies,59,1347,False,54.6,39.0,15.7,60.5,,,71.8,False,1.4,28.8,31.0,115.0,66.0,93.0,True
59632,Wallers,59,5598,False,44.4,28.7,15.7,43.3,56.5,TER,56.5,False,1.547,35.4,31.0,115.0,59.0,91.0,False
59629,Vred,59,1311,False,48.2,32.6,15.7,37.7,73.0,velo+TER,57.3,False,1.479,32.6,31.0,115.0,47.0,69.0,False
59622,Villers-en-Cauchies,59,1161,False,65.4,49.7,15.7,69.5,,,96.2,False,1.316,24.0,31.0,115.0,64.0,84.0,True
59284,Hasnon,59,3874,False,45.4,29.8,15.6,41.0,66.0,velo+TER,52.3,False,1.523,34.4,31.0,114.0,54.0,83.0,False
59172,Denain,59,20640,False,55.5,39.9,15.6,50.1,72.6,TER,72.6,False,1.391,28.1,31.0,114.0,54.0,75.0,False
59105,Bouvignies,59,1548,False,43.5,27.9,15.6,32.2,,,41.1,False,1.559,35.9,31.0,114.0,44.0,69.0,True
59155,Coudekerque-Branche,59,20765,False,65.0,49.4,15.6,82.3,91.1,TER,91.1,False,1.316,24.0,31.0,114.0,76.0,100.0,False
59183,Dunkerque,59,86788,False,67.0,51.4,15.6,80.4,87.0,TER,87.0,True,1.304,23.3,31.0,114.0,72.0,94.0,False
59079,Beuvrages,59,6784,False,49.1,33.5,15.6,49.6,61.3,TER,61.3,False,1.466,31.8,31.0,114.0,61.0,89.0,False
59335,Lecelles,59,3004,False,45.7,30.1,15.6,40.1,64.0,velo+TER,52.0,False,1.518,34.1,31.0,114.0,53.0,80.0,False
59302,Hérin,59,4129,False,50.0,34.4,15.6,49.3,80.0,velo+TER,63.9,False,1.453,31.2,31.0,114.0,59.0,86.0,False
